entry_ts,exit_ts,arm,side,entry_px,R,slipR,hrs,maeR,gate,eps,ADX,BBbw,ATRpct
2025-09-17 09:09:12,2025-09-17 09:09:30,reversion,LONG,6662.5,0.5,0.0,0.01,0.0,True,0.02,14.1,0.00035,9.5e-05
2025-09-17 09:20:20,2025-09-17 09:20:22,reversion,SHORT,6662.5,0.25,0.0,0.0,0.0,True,0.02,14.0,0.000202,7.3e-05
2025-09-17 14:22:47,2025-09-17 14:22:49,trend,LONG,6660.5,1.0,0.0,0.0,0.0,True,0.03,20.3,0.002592,0.000515
2025-09-19 03:01:07,2025-09-19 04:31:08,reversion,SHORT,6688.5,0.0,0.0,1.5,2.583,True,0.02,17.7,0.000196,4.9e-05
2025-09-19 07:53:10,2025-09-19 07:53:11,reversion,LONG,6688.5,5.083,0.0,0.0,0.0,True,0.02,17.3,0.00017,2.8e-05
2025-09-19 08:08:28,2025-09-19 08:30:01,reversion,SHORT,6704.25,-1.083,0.0,0.36,2.75,True,0.02,18.0,0.000157,3.2e-05
2025-09-19 08:56:38,2025-09-19 09:18:03,reversion,LONG,6705.5,-1.083,0.0,0.36,0.917,True,0.02,12.3,0.000189,8e-05
2025-09-19 10:09:25,2025-09-19 10:09:27,reversion,LONG,6708.25,-4.417,0.0,0.0,4.583,True,0.02,10.9,0.000347,7.6e-05
2025-09-17 09:09:12,2025-09-17 09:09:30,reversion,LONG,6662.5,0.5,0.0,0.01,0.0,True,0.02,14.1,0.00035,9.5e-05
2025-09-17 09:20:20,2025-09-17 09:20:22,reversion,SHORT,6662.5,0.25,0.0,0.0,0.0,True,0.02,14.0,0.000202,7.3e-05
2025-09-17 14:22:47,2025-09-17 14:22:49,trend,LONG,6660.5,1.0,0.0,0.0,0.0,True,0.03,20.3,0.002592,0.000515
2025-09-19 03:01:07,2025-09-19 04:31:08,reversion,SHORT,6688.5,0.0,0.0,1.5,2.583,True,0.02,17.7,0.000196,4.9e-05
2025-09-19 07:53:10,2025-09-19 07:53:11,reversion,LONG,6688.5,5.083,0.0,0.0,0.0,True,0.02,17.3,0.00017,2.8e-05
2025-09-19 08:08:28,2025-09-19 08:30:01,reversion,SHORT,6704.25,-1.083,0.0,0.36,2.75,True,0.02,18.0,0.000157,3.2e-05
2025-09-19 08:56:38,2025-09-19 09:18:03,reversion,LONG,6705.5,-1.083,0.0,0.36,0.917,True,0.02,12.3,0.000189,8e-05
2025-09-19 10:09:25,2025-09-19 10:09:27,reversion,LONG,6708.25,-4.417,0.0,0.0,4.583,True,0.02,10.9,0.000347,7.6e-05
