2025-10-02 01:15:33 INFO Starting ES paper bot...
2025-10-02 01:15:33 INFO [CONNECT] 127.0.0.1:7497 clientId=111
2025-10-02 01:15:33 INFO Connecting to 127.0.0.1:7497 with clientId 111...
2025-10-02 01:15:33 INFO Connected
2025-10-02 01:15:33 INFO Logged on to server version 176
2025-10-02 01:15:33 INFO API connection ready
2025-10-02 01:15:33 INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm.nj
2025-10-02 01:15:33 INFO Warning 2104, reqId -1: Market data farm connection is OK:usfuture
2025-10-02 01:15:33 INFO Warning 2104, reqId -1: Market data farm connection is OK:cashfarm
2025-10-02 01:15:33 INFO Warning 2104, reqId -1: Market data farm connection is OK:usfarm
2025-10-02 01:15:33 INFO Warning 2106, reqId -1: HMDS data farm connection is OK:ushmds
2025-10-02 01:15:33 INFO Warning 2158, reqId -1: Sec-def data farm connection is OK:secdefil
2025-10-02 01:15:33 INFO position: Position(account='DU2660649', contract=Future(conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', currency='USD', localSymbol='ESZ5', tradingClass='ES'), position=0.0, avgCost=0.0)
2025-10-02 01:15:34 INFO updatePortfolio: PortfolioItem(contract=Future(conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', right='0', multiplier='50', primaryExchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES'), position=0.0, marketPrice=6765.75, marketValue=0.0, averageCost=0.0, unrealizedPNL=0.0, realizedPNL=432.0, account='DU2660649')
2025-10-02 01:15:34 INFO Synchronization complete
2025-10-02 01:15:34 INFO [CONNECT] Connected.
2025-10-02 01:15:34 INFO [CONTRACT] Auto front-month: ES 20251219 conId=495512563 exch=CME
2025-10-02 01:15:34 INFO [HB] outside window         | open=0
2025-10-02 01:15:35 INFO updatePortfolio: PortfolioItem(contract=Future(conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', right='0', multiplier='50', primaryExchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES'), position=0.0, marketPrice=6766.25, marketValue=0.0, averageCost=0.0, unrealizedPNL=0.0, realizedPNL=432.0, account='DU2660649')
2025-10-02 01:15:39 INFO [HB] outside window         | open=0
2025-10-02 01:15:44 INFO [HB] outside window         | open=0
2025-10-02 01:15:49 INFO [HB] outside window         | open=0
2025-10-02 01:15:54 INFO [HB] outside window         | open=0
2025-10-02 01:15:59 INFO [HB] outside window         | open=0
2025-10-02 01:16:04 INFO [HB] outside window         | open=0
2025-10-02 01:16:09 INFO [HB] outside window         | open=0
2025-10-02 01:16:14 INFO [HB] outside window         | open=0
2025-10-02 01:16:19 INFO [HB] outside window         | open=0
2025-10-02 01:16:24 INFO [HB] outside window         | open=0
2025-10-02 01:16:29 INFO [HB] outside window         | open=0
2025-10-02 01:16:34 INFO [HB] outside window         | open=0
2025-10-02 01:16:39 INFO [HB] outside window         | open=0
2025-10-02 01:16:44 INFO [HB] outside window         | open=0
2025-10-02 01:16:49 INFO [HB] outside window         | open=0
2025-10-02 01:16:54 INFO [HB] outside window         | open=0
2025-10-02 01:16:59 INFO [HB] outside window         | open=0
2025-10-02 01:17:04 INFO [HB] outside window         | open=0
2025-10-02 01:17:09 INFO [HB] outside window         | open=0
2025-10-02 01:17:14 INFO [HB] outside window         | open=0
2025-10-02 01:17:19 INFO [HB] outside window         | open=0
2025-10-02 01:17:24 INFO [HB] outside window         | open=0
2025-10-02 01:17:29 INFO [HB] outside window         | open=0
2025-10-02 01:17:34 INFO [HB] outside window         | open=0
2025-10-02 01:17:39 INFO [HB] outside window         | open=0
2025-10-02 01:17:44 INFO [HB] outside window         | open=0
2025-10-02 01:17:49 INFO [HB] outside window         | open=0
2025-10-02 01:17:54 INFO [HB] outside window         | open=0
2025-10-02 01:17:59 INFO [HB] outside window         | open=0
2025-10-02 01:18:04 INFO [HB] outside window         | open=0
2025-10-02 01:18:09 INFO [HB] outside window         | open=0
2025-10-02 01:18:14 INFO [HB] outside window         | open=0
2025-10-02 01:18:19 INFO [HB] outside window         | open=0
2025-10-02 01:18:24 INFO [HB] outside window         | open=0
2025-10-02 01:18:29 INFO [HB] outside window         | open=0
2025-10-02 01:18:34 INFO [HB] outside window         | open=0
2025-10-02 01:18:35 INFO updatePortfolio: PortfolioItem(contract=Future(conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', right='0', multiplier='50', primaryExchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES'), position=0.0, marketPrice=6765.5, marketValue=0.0, averageCost=0.0, unrealizedPNL=0.0, realizedPNL=432.0, account='DU2660649')
2025-10-02 01:18:40 INFO [HB] outside window         | open=0
2025-10-02 01:18:45 INFO [HB] outside window         | open=0
2025-10-02 01:18:50 INFO [HB] outside window         | open=0
2025-10-02 01:18:55 INFO [HB] outside window         | open=0
2025-10-02 01:19:00 INFO [HB] outside window         | open=0
2025-10-02 01:19:05 INFO [HB] outside window         | open=0
2025-10-02 01:19:10 INFO [HB] outside window         | open=0
2025-10-02 01:19:15 INFO [HB] outside window         | open=0
2025-10-02 01:19:20 INFO [HB] outside window         | open=0
2025-10-02 01:19:25 INFO [HB] outside window         | open=0
2025-10-02 01:19:30 INFO [HB] outside window         | open=0
2025-10-02 01:19:35 INFO [HB] outside window         | open=0
2025-10-02 01:19:40 INFO [HB] outside window         | open=0
2025-10-02 01:19:45 INFO [HB] outside window         | open=0
2025-10-02 01:19:50 INFO [HB] outside window         | open=0
2025-10-02 01:19:55 INFO [HB] outside window         | open=0
2025-10-02 01:20:00 INFO [HB] outside window         | open=0
2025-10-02 01:20:05 INFO [HB] outside window         | open=0
2025-10-02 01:20:10 INFO [HB] outside window         | open=0
2025-10-02 01:20:15 INFO [HB] outside window         | open=0
2025-10-02 01:20:20 INFO [HB] outside window         | open=0
2025-10-02 01:20:25 INFO [HB] outside window         | open=0
2025-10-02 01:20:30 INFO [HB] outside window         | open=0
2025-10-02 01:20:35 INFO [HB] outside window         | open=0
2025-10-02 01:20:40 INFO [HB] outside window         | open=0
2025-10-02 01:20:45 INFO [HB] outside window         | open=0
2025-10-02 01:20:50 INFO [HB] outside window         | open=0
2025-10-02 01:20:55 INFO [HB] outside window         | open=0
2025-10-02 01:21:00 INFO [HB] outside window         | open=0
2025-10-02 01:21:05 INFO [HB] outside window         | open=0
2025-10-02 01:21:10 INFO [HB] outside window         | open=0
2025-10-02 01:21:15 INFO [HB] outside window         | open=0
2025-10-02 01:21:20 INFO [HB] outside window         | open=0
2025-10-02 01:21:25 INFO [HB] outside window         | open=0
2025-10-02 01:21:30 INFO [HB] outside window         | open=0
2025-10-02 01:21:35 INFO [HB] outside window         | open=0
2025-10-02 01:21:35 INFO updatePortfolio: PortfolioItem(contract=Future(conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', right='0', multiplier='50', primaryExchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES'), position=0.0, marketPrice=6765.5, marketValue=0.0, averageCost=0.0, unrealizedPNL=0.0, realizedPNL=432.0, account='DU2660649')
2025-10-02 01:21:40 INFO [HB] outside window         | open=0
2025-10-02 01:21:45 INFO [HB] outside window         | open=0
2025-10-02 01:21:50 INFO [HB] outside window         | open=0
2025-10-02 01:21:55 INFO [HB] outside window         | open=0
2025-10-02 01:22:00 INFO [HB] outside window         | open=0
2025-10-02 01:22:05 INFO [HB] outside window         | open=0
2025-10-02 01:22:10 INFO [HB] outside window         | open=0
2025-10-02 01:22:15 INFO [HB] outside window         | open=0
2025-10-02 01:22:20 INFO [HB] outside window         | open=0
2025-10-02 01:22:25 INFO [HB] outside window         | open=0
2025-10-02 01:22:30 INFO [HB] outside window         | open=0
2025-10-02 01:22:35 INFO [HB] outside window         | open=0
2025-10-02 01:22:40 INFO [HB] outside window         | open=0
2025-10-02 01:22:45 INFO [HB] outside window         | open=0
2025-10-02 01:22:50 INFO [HB] outside window         | open=0
2025-10-02 01:22:55 INFO [HB] outside window         | open=0
2025-10-02 01:23:00 INFO [HB] outside window         | open=0
2025-10-02 01:23:05 INFO [HB] outside window         | open=0
2025-10-02 01:23:10 INFO [HB] outside window         | open=0
2025-10-02 01:23:15 INFO [HB] outside window         | open=0
2025-10-02 01:23:20 INFO [HB] outside window         | open=0
2025-10-02 01:23:25 INFO [HB] outside window         | open=0
2025-10-02 01:23:30 INFO [HB] outside window         | open=0
2025-10-02 01:23:35 INFO [HB] outside window         | open=0
2025-10-02 01:23:40 INFO [HB] outside window         | open=0
2025-10-02 01:23:45 INFO [CTRL-C] Shutting down...
2025-10-02 01:23:45 INFO Disconnecting from 127.0.0.1:7497, 399 B sent in 12 messages, 107 kB received in 1839 messages, session time 492 s.
2025-10-02 01:23:45 INFO Disconnecting
