[INFO] 2025-09-14 18:40:25 Enabled arms: trend,breakout,reversion,vwap
[INFO] 2025-09-14 18:40:25 Loaded chooser state from models\linucb_es.json
[INFO] 2025-09-14 18:40:25 [PING 1] clientId=19 connected: False
[INFO] 2025-09-14 18:40:25 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[INFO] 2025-09-14 18:40:25 Using contract: ESZ5  (conId=495512563)
[INFO] 2025-09-14 18:40:25 [WARMUP] Fetching 5d of 1m bars...
[INFO] 2025-09-14 18:40:27 [WARMUP] Loaded 5621 historical 1m bars.
[REGIME] ADX=62.9  BBbw=0.0008  ATR%=0.000071  (ok=False)
[INFO] 2025-09-14 18:40:28 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.055 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.055 | reversion: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.055 | vwap: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.055
[HB] 2025-09-14 18:40:28 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:29 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:30 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:31 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:32 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:33 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:34 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:36 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:37 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:38 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:39 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:42 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=41.2  BBbw=0.0006  ATR%=0.000054  (ok=False)
[HB] 2025-09-14 18:40:43 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:44 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:45 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:46 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:48 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:49 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:50 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:51 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:52 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:53 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:54 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:55 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:56 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:57 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=32.5  BBbw=0.0004  ATR%=0.000039  (ok=False)
[HB] 2025-09-14 18:40:58 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:40:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:01 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:02 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:04 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:05 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:06 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:07 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:08 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:09 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:10 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:11 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:12 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=26.8  BBbw=0.0002  ATR%=0.000025  (ok=False)
[HB] 2025-09-14 18:41:14 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:15 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:16 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:17 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:18 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:19 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:20 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:21 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:22 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:23 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:24 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:26 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:27 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:28 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=23.1  BBbw=0.0002  ATR%=0.000016  (ok=False)
[INFO] 2025-09-14 18:41:29 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.669 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.669 | reversion: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.669 | vwap: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.669
[HB] 2025-09-14 18:41:29 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:30 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:31 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:32 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:33 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:34 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:35 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:37 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:38 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:39 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:40 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:41 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:42 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:43 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=33.7  BBbw=0.0002  ATR%=0.000019  (ok=False)
[HB] 2025-09-14 18:41:44 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:45 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:46 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:47 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:49 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:50 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:51 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:52 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:53 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:54 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:55 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:56 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:57 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:41:58 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=44.3  BBbw=0.0001  ATR%=0.000013  (ok=False)
[HB] 2025-09-14 18:41:59 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:01 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:02 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:04 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:07 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:08 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:09 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:10 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:12 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:13 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:14 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[REGIME] ADX=51.2  BBbw=0.0002  ATR%=0.000008  (ok=False)
[HB] 2025-09-14 18:42:15 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:16 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:17 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:18 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:19 CT OpenTrades=0 | ChooserArm=breakout | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:20 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:21 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:22 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:24 CT OpenTrades=0 | ChooserArm=vwap | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
[HB] 2025-09-14 18:42:25 CT OpenTrades=0 | ChooserArm=reversion | Gate=no | eps=0.050 | sessionR=0.00 | sessionN=0 | stall=no
