[LOG] 2025-09-11 14:46:11 Enabled arms: trend,breakout
[LOG] 2025-09-11 14:46:11 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-11 14:46:11 [PING 1] clientId=29 connected: False
[LOG] 2025-09-11 14:46:11 Connected 127.0.0.1:7497 clientId=29 | Market data type: LIVE
[LOG] 2025-09-11 14:46:11 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-11 14:46:11 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-11 14:46:13 [WARMUP] Loaded 6827 historical 1m bars.
[REGIME] ADX=29.1  BBbw=0.0007  ATR%=0.000176  (ok=True)
[LOG] 2025-09-11 14:46:14 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.399 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.399
[HB] 2025-09-11 14:46:14 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:15 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:16 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:17 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:18 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:20 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:21 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:22 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:23 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:24 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:25 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:26 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:27 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:28 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=22.6  BBbw=0.0005  ATR%=0.000128  (ok=True)
[HB] 2025-09-11 14:46:29 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:30 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[LOG] 2025-09-11 14:46:30 [SUMMARY] Wrote daily_summary_20250911.json and daily_summary_20250911.csv
[HB] 2025-09-11 14:46:32 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:33 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:34 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:35 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:36 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:37 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:38 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:39 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:40 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:41 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:42 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:44 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=17.1  BBbw=0.0005  ATR%=0.000093  (ok=False)
[HB] 2025-09-11 14:46:45 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:46 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:47 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:48 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:49 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:50 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:51 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:52 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:53 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:54 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:55 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:57 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:58 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:46:59 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=14.4  BBbw=0.0004  ATR%=0.000073  (ok=False)
[HB] 2025-09-11 14:47:00 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:01 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:02 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:03 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:04 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:05 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:06 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:07 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:09 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:10 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:11 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:12 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-11 14:47:13 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[LOG] 2025-09-11 14:47:14 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.750 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+0.750
[HB] 2025-09-11 14:47:14 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
