============================================================
[START] 2025-09-08 12:44:46
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-08 12:44:47 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-08 12:44:47 [PING 1] clientId=19 connected: False
[LOG] 2025-09-08 12:44:47 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-08 12:44:47 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-08 12:44:47 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-08 12:44:49 [WARMUP] Loaded 7845 historical 1m bars.
[REGIME] ADX=34.3  BBbw=0.0009  ATR%=0.000180  (ok=False)
[HB] 2025-09-08 12:44:50 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:51 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:52 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:53 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:54 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:55 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:57 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:58 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:44:59 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:00 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:01 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:02 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:03 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:04 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:05 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=37.1  BBbw=0.0009  ATR%=0.000122  (ok=False)
[HB] 2025-09-08 12:45:06 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:07 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:08 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:09 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:10 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:11 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:12 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:14 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:15 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:16 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:17 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:18 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:19 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:20 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:21 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=38.9  BBbw=0.0007  ATR%=0.000093  (ok=False)
[HB] 2025-09-08 12:45:22 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:23 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:24 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:25 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:26 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:27 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:28 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:29 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:30 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:31 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:33 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:34 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:35 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:36 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:37 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=35.8  BBbw=0.0004  ATR%=0.000084  (ok=False)
[HB] 2025-09-08 12:45:38 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:39 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:40 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:41 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:42 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:43 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:44 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:45 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:46 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:47 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:48 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:49 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:50 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:52 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:53 CT PnL=0.00 | ChooserArm=mom | Gate=no
[REGIME] ADX=30.1  BBbw=0.0002  ATR%=0.000077  (ok=False)
[HB] 2025-09-08 12:45:54 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:55 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:56 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:57 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:58 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:45:59 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:00 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:01 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:02 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:03 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:04 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:05 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:06 CT PnL=0.00 | ChooserArm=mom | Gate=no
[HB] 2025-09-08 12:46:07 CT PnL=0.00 | ChooserArm=mom | Gate=no
