============================================================
[START] 2025-09-09 13:27:55
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --conId 637533641 --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-09 13:27:55 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-09 13:27:55 [PING 1] clientId=19 connected: False
[LOG] 2025-09-09 13:27:55 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-09 13:27:55 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-09 13:27:55 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-09 13:27:57 [WARMUP] Loaded 6748 historical 1m bars.
[REGIME] ADX=14.6  BBbw=0.0006  ATR%=0.000168  (ok=False)
[HB] 2025-09-09 13:27:58 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:27:59 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:00 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:01 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 13:28:02 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 13:28:03 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 13:28:04 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 13:28:05 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:06 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:08 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:09 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:10 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:11 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:12 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:13 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=14.3  BBbw=0.0005  ATR%=0.000127  (ok=False)
[HB] 2025-09-09 13:28:14 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:15 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:16 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:17 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:18 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:19 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:20 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:21 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:22 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:23 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:24 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:25 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:26 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:27 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:28 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=18.1  BBbw=0.0003  ATR%=0.000092  (ok=False)
[HB] 2025-09-09 13:28:29 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:30 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:31 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:32 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:33 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:34 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:35 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:36 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:37 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:38 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:39 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:41 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:42 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:43 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:44 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=17.4  BBbw=0.0002  ATR%=0.000074  (ok=False)
[HB] 2025-09-09 13:28:45 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:46 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:47 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:48 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:49 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:50 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:51 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:52 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:53 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:54 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:55 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:56 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:57 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 13:28:58 CT Arm=rsi_mr Gate=no InTrade=N
