============================================================
[START] 2025-09-09 14:26:42
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --no-confirm --place-orders --debug-regime --persist-chooser --chooser-model-path C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
============================================================
[LOG] 2025-09-09 14:26:43 Loaded chooser state from C:\Users\owner\Desktop\es_futures_backtester\models\linucb_state.json
[LOG] 2025-09-09 14:26:43 [PING 1] clientId=19 connected: False
[LOG] 2025-09-09 14:26:43 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-09 14:26:43 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-09 14:26:43 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-09 14:26:45 [WARMUP] Loaded 6807 historical 1m bars.
[REGIME] ADX=41.2  BBbw=0.0009  ATR%=0.000146  (ok=False)
[HB] 2025-09-09 14:26:46 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:47 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:48 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:49 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:50 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:51 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:52 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:53 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:54 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:55 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:56 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:57 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:58 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:26:59 CT Arm=rsi_mr Gate=no InTrade=N
[HB] 2025-09-09 14:27:00 CT Arm=rsi_mr Gate=no InTrade=N
[REGIME] ADX=44.5  BBbw=0.0009  ATR%=0.000099  (ok=False)
[HB] 2025-09-09 14:27:01 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:02 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:03 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:04 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:05 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:06 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:07 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:08 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:09 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:11 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:12 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:13 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:14 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:15 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:16 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=46.3  BBbw=0.0007  ATR%=0.000082  (ok=False)
[HB] 2025-09-09 14:27:17 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:18 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:19 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:20 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:21 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:22 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:23 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:24 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:25 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:26 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:27 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:28 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:29 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:30 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:31 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=38.9  BBbw=0.0004  ATR%=0.000063  (ok=False)
[HB] 2025-09-09 14:27:32 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:33 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:34 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:35 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:36 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:37 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:38 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:39 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:40 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:41 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:42 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:44 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:45 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:46 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:47 CT Arm=macd_mom Gate=no InTrade=N
[REGIME] ADX=33.1  BBbw=0.0002  ATR%=0.000059  (ok=False)
[HB] 2025-09-09 14:27:48 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:49 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:50 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:51 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:52 CT Arm=macd_mom Gate=no InTrade=N
[HB] 2025-09-09 14:27:53 CT Arm=macd_mom Gate=no InTrade=N
