============================================================
[START] 2025-09-10 12:44:46
[CMD] C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u paper_trader.py --host 127.0.0.1 --port 7497 --clientId 19 --conId 637533641 --tp-ladder 1.0R:50,2.0R:50 --place-orders --debug-regime --enable-arms trend,breakout --persist-chooser --chooser-model-path C:UsersownerDesktopes_futures_backtestermodelslinucb_state.json --arm-min-trades 12 --arm-good-thresh 0.08 --arm-bad-thresh -0.06 --auto-freeze-bad --alpha-boost-good --alpha-boost-mult 1.5 --alpha-boost-secs 600 --decay-every-secs 600 --decay-gamma 0.995 --rth-only --one-trade-at-a-time --strategy-cooldown-sec 60 --debounce-one-bar
============================================================
[LOG] 2025-09-10 12:44:47 Enabled arms: trend,breakout
[LOG] 2025-09-10 12:44:47 [PING 1] clientId=19 connected: False
[LOG] 2025-09-10 12:44:47 Connected 127.0.0.1:7497 clientId=19 | Market data type: LIVE
[LOG] 2025-09-10 12:44:47 Using contract: ESU5  (conId=637533641)
[LOG] 2025-09-10 12:44:47 [WARMUP] Fetching 5d of 1m bars...
[LOG] 2025-09-10 12:44:49 [WARMUP] Loaded 6705 historical 1m bars.
[REGIME] ADX=19.0  BBbw=0.0009  ATR%=0.000221  (ok=True)
[LOG] 2025-09-10 12:44:50 [ARMS] trend: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.590 | breakout: EN n=0, avgR=+0.000, mu=+0.000, ucb=+1.590
[HB] 2025-09-10 12:44:50 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:51 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:52 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:53 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:54 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:56 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:57 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:58 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:44:59 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:00 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:01 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:02 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:03 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:04 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=15.5  BBbw=0.0008  ATR%=0.000175  (ok=True)
[HB] 2025-09-10 12:45:05 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:06 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:07 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:09 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:10 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:11 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:12 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:13 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:14 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:15 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:16 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:17 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:18 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:19 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[REGIME] ADX=13.2  BBbw=0.0005  ATR%=0.000140  (ok=True)
[HB] 2025-09-10 12:45:20 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:21 CT OpenTrades=0 | ChooserArm=trend | Gate=yes | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:23 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
[HB] 2025-09-10 12:45:24 CT OpenTrades=0 | ChooserArm=trend | Gate=no | eps=0.050 | dayR=0.00 | dayN=0
