Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 1102, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been restored - data maintained. All data farms are connected: usfarm.nj; usfuture; cashfarm; usfarm; euhmds; cashhmds; fundfarm; ushmds; secdefil.
Error 1100, reqId -1: Connectivity between Gar Wood Securities, LLC and Gar Wood Pro has been lost.
Error 200, reqId 4839: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4836: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4835: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4838: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4837: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4832: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4834: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4833: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4841: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4840: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
Error 200, reqId 4847: No security definition has been found for the request, contract: Contract(secType='FUT', conId=495512563, symbol='ES', lastTradeDateOrContractMonth='20251219', multiplier='50', exchange='CME', currency='USD', localSymbol='ESZ5', tradingClass='ES')
