ts,day,hour,arm,R,slipR,hrs,maeR,reward,dailyR,src
2025-09-17 09:09:30,2025-09-17,09,reversion,0.5,0.0,0.01,0.0,0.519,0.5,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250917_064534.log
2025-09-17 09:20:22,2025-09-17,09,reversion,0.25,0.0,0.0,0.0,0.27,0.75,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250917_064534.log
2025-09-17 14:22:49,2025-09-17,14,trend,1.0,0.0,0.0,0.0,1.02,1.0,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250917_142141.log
2025-09-19 04:31:08,2025-09-19,04,reversion,0.0,0.0,1.5,2.583,-0.647,0.0,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250918_215428.log
2025-09-19 07:53:11,2025-09-19,07,reversion,5.083,0.0,0.0,0.0,5.103,5.08,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250918_215428.log
2025-09-19 08:30:01,2025-09-19,08,reversion,-1.083,0.0,0.36,2.75,-1.65,-1.08,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250918_215428.log
2025-09-19 09:18:03,2025-09-19,09,reversion,-1.083,0.0,0.36,0.917,-1.283,-2.17,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250918_215428.log
2025-09-19 10:09:27,2025-09-19,10,reversion,-4.417,0.0,0.0,4.583,-5.314,-6.58,C:\Users\owner\Desktop\es_futures_backtester\logs\bot_stdout_20250918_215428.log
2025-09-17 09:09:30,2025-09-17,09,reversion,0.5,0.0,0.01,0.0,0.519,0.5,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250917.txt
2025-09-17 09:20:22,2025-09-17,09,reversion,0.25,0.0,0.0,0.0,0.27,0.75,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250917.txt
2025-09-17 14:22:49,2025-09-17,14,trend,1.0,0.0,0.0,0.0,1.02,1.0,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250917.txt
2025-09-19 04:31:08,2025-09-19,04,reversion,0.0,0.0,1.5,2.583,-0.647,0.0,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250918.txt
2025-09-19 07:53:11,2025-09-19,07,reversion,5.083,0.0,0.0,0.0,5.103,5.08,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250918.txt
2025-09-19 08:30:01,2025-09-19,08,reversion,-1.083,0.0,0.36,2.75,-1.65,-1.08,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250918.txt
2025-09-19 09:18:03,2025-09-19,09,reversion,-1.083,0.0,0.36,0.917,-1.283,-2.17,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250918.txt
2025-09-19 10:09:27,2025-09-19,10,reversion,-4.417,0.0,0.0,4.583,-5.314,-6.58,C:\Users\owner\Desktop\es_futures_backtester\logs\runtime_20250918.txt
