
[2025-10-08 18:28:28] CMD: C:\Users\owner\AppData\Local\Programs\Python\Python313\python.exe -X faulthandler -u C:\Users\owner\Desktop\es_futures_backtester\paper_trader.py --local-symbol ESZ5 --host 127.0.0.1 --port 7497 --clientId 111 --symbol ES --auto-front-month --entry-slippage-ticks 2 --atomic-bracket --qty 1 --risk-ticks 12 --tick-size 0.25 --tp-R 1.0 --enable-arms trend,breakout --gate-adx 19 --gate-bbbw 0.00020 --gate-atrp 0.000055 --min-hold-sec 60 --breakeven-after-R 2.2 --trail-atr-mult 3.2 --trail-delay-sec 240 --trail-on-bar-close --max-trades-per-day 12 --day-loss-cap-R 3 --strategy-cooldown-sec 150 --trade-start-ct 00:00 --trade-end-ct 23:59 --tif GTC --outsideRth --require-new-bar-after-start --startup-delay-sec 10 --debounce-one-bar --duration 1 D --connect-timeout-sec 300 --timeout-sec 300 --bandit meta --bandit-state .\data\learn\bandit_state.json --learn-log --learn-log-dir .\logs\learn --decay-half-life-trades 400 --meta-eta 0.2 --switching-cost 0.05 --ph-delta 0.002 --ph-lambda 0.98 --poll-hist-when-no-rt --poll-interval-sec 10 --place-orders -v
[2025-10-08 18:28:33] [WD] hb uptime=5s restarts=0 child_alive=True
[2025-10-08 18:28:38] [WD] hb uptime=10s restarts=0 child_alive=True
[2025-10-08 18:28:43] [WD] hb uptime=15s restarts=0 child_alive=True
[2025-10-08 18:28:48] [WD] hb uptime=20s restarts=0 child_alive=True
[2025-10-08 18:28:53] [WD] hb uptime=25s restarts=0 child_alive=True
[2025-10-08 18:28:58] [WD] hb uptime=30s restarts=0 child_alive=True
[2025-10-08 18:29:03] [WD] hb uptime=35s restarts=0 child_alive=True
[2025-10-08 18:29:08] [WD] hb uptime=40s restarts=0 child_alive=True
[CLI] Ignoring unknown args: ['D']
Starting ES paper bot...
[CONNECT] 127.0.0.1:7497 clientId=111
Connected
[MD] Market data type set to LIVE (1)
[CONTRACT] Using localSymbol=ESZ5 conId=495512563 expiry=20251219
[BOOT] Hist seed: 361 bars
[MD] POLL appended bar 2025-10-08 18:28:35-05:00 close=6811.25 total=362
2025-10-08 18:28:39 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=362 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:39 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:40 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:40 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:41 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:41 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:42 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:42 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:43 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:43 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:44 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:44 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:45 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:45 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:46 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:46 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:47 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:47 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:48 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:48 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:49 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:49 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:50 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:50 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:51 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:51 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:52 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:52 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:53 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:53 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:54 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:54 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:55 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:55 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:56 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:56 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:57 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:57 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:58 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:58 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:28:59 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=363 | arms=trend 0/0.00, breakout 0/0.00
[MD] POLL appended bar 2025-10-08 18:28:55-05:00 close=6811.50 total=364
2025-10-08 18:28:59 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=364 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:00 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:00 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:01 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:01 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:02 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:02 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:03 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:03 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:04 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:04 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:05 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:05 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:06 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:06 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:07 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:07 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:08 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:08 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:09 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:09 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:10 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
[2025-10-08 18:29:13] [WD] hb uptime=45s restarts=0 child_alive=True
[2025-10-08 18:29:18] [WD] hb uptime=50s restarts=0 child_alive=True
[2025-10-08 18:29:23] [WD] hb uptime=55s restarts=0 child_alive=True
[2025-10-08 18:29:28] [WD] hb uptime=60s restarts=0 child_alive=True
[2025-10-08 18:29:33] [WD] hb uptime=65s restarts=0 child_alive=True
[2025-10-08 18:29:38] [WD] hb uptime=70s restarts=0 child_alive=True
2025-10-08 18:29:10 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:11 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:11 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:12 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:12 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:13 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:13 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:14 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:14 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:15 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:15 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:16 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:16 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:17 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:17 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:18 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:18 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:19 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:19 INFO [HB] active | src=RT dayR=0.00 open=0 tradesToday=0 bars=365 | arms=trend 0/0.00, breakout 0/0.00
[MD] POLL appended bar 2025-10-08 18:29:10-05:00 close=6811.50 total=366
2025-10-08 18:29:20 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:21 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:21 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:22 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:22 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
2025-10-08 18:29:23 INFO [HB] active | src=POLL dayR=0.00 open=0 tradesToday=0 bars=366 | arms=trend 0/0.00, breakout 0/0.00
