file,module,imported_by_count,imported_by,imports,referenced_in_bat,is_entrypoint_candidate,last_modified
analyze_session.py,analyze_session,0,[],"['glob', 'json', 'numpy', 'os', 'pandas', 'pathlib', 'typing']",[],True,2025-08-20T16:08:36
backtest_engine.py,backtest_engine,1,['streamlit_dashboard.py'],"['numpy', 'pandas']",[],False,2025-08-04T14:37:30
batch_runner.py,batch_runner,0,[],"['dataclasses', 'json', 'numpy', 'optimizer', 'os', 'pandas', 'report_generator', 'strategy_runner', 'typing']",[],True,2025-08-11T17:07:58
calendar_cme.py,calendar_cme,0,[],"['datetime', 'zoneinfo']",[],True,2025-09-13T09:00:19
check_kpis.py,check_kpis,0,[],"['argparse', 'pathlib', 'statistics']",[],True,2025-09-02T13:15:50
circuit_breakers.py,circuit_breakers,0,[],"['dataclasses', 'datetime']",[],True,2025-09-13T09:00:29
ib_paper_trader.py,ib_paper_trader,0,[],"['argparse', 'datetime', 'ib_insync', 'logging', 'math', 'numpy', 'os', 'pandas', 'sys', 'time']",[],True,2025-08-17T00:30:08
ib_quote.py,ib_quote,0,[],['ib_insync'],[],True,2025-08-11T18:35:51
missed_crosses.py,missed_crosses,0,[],"['pandas', 'pathlib']",[],True,2025-08-20T16:15:58
missed_reasons.py,missed_reasons,0,[],"['json', 'numpy', 'pandas', 'pathlib']",[],True,2025-08-20T16:19:21
optimizer.py,optimizer,1,['batch_runner.py'],"['__future__', 'numpy', 'skopt', 'typing', 'warnings']",[],False,2025-08-11T17:59:29
paper_trader.py,paper_trader,0,[],"['__future__', 'argparse', 'collections', 'dataclasses', 'datetime', 'ib_insync', 'numpy', 'pandas', 'typing']",[],True,2025-09-12T19:48:47
paper_trader_long_only.py,paper_trader_long_only,0,[],"['__future__', 'argparse', 'dataclasses', 'datetime', 'ib_insync', 'numpy', 'pandas', 'typing', 'zoneinfo']",[],True,2025-08-19T14:27:06
persistence.py,persistence,0,[],"['json', 'pathlib', 'typing']",[],True,2025-09-13T09:00:36
report_generator.py,report_generator,2,"['batch_runner.py', 'report_generator.py']","['__future__', 'json', 'matplotlib', 'numpy', 'os', 'pandas', 'report_generator', 'typing']",[],False,2025-08-11T14:48:29
repo_audit.py,repo_audit,0,[],"['csv', 'datetime', 'os', 'pathlib']",[],True,2025-09-13T09:18:42
run_ppt_trader_supervisor.py,run_ppt_trader_supervisor,0,[],"['__future__', 'datetime', 'ibapi', 'pathlib', 'subprocess']",[],True,2025-09-12T08:35:29
strategy_runner.py,strategy_runner,1,['batch_runner.py'],"['__future__', 'dataclasses', 'numpy', 'pandas', 'typing']",[],False,2025-08-11T16:39:29
streamlit_dashboard.py,streamlit_dashboard,0,[],"['backtest_engine', 'matplotlib', 'numpy', 'pandas', 'seaborn', 'streamlit']",[],True,2025-08-04T14:37:45
summarize_gates.py,summarize_gates,0,[],"['collections', 'os', 'pandas']",['summarize_gates.bat'],True,2025-08-21T21:14:50
test_bracket_plumbing.py,test_bracket_plumbing,0,[],"['argparse', 'ib_insync']",[],True,2025-09-12T13:10:14
