EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,EntryPriceGross,ExitPriceGross,Fees,GrossPnL,NetPnL,TimeOfDay,Strategy,WF_Period,ParamsJSON
2023-01-15 01:00:00,2023-01-15 05:00:00,LONG,4179.22,4160.72,1.0,4169.0,4171.0,2.4,-925.0,-927.4,01:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-15 05:00:00,2023-01-15 08:00:00,SHORT,4160.72,4182.825,1.0,4171.0,4172.5,2.4,-1105.2499999999782,-1107.6499999999783,05:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-15 08:00:00,2023-01-17 18:00:00,LONG,4182.825,4189.51,1.0,4172.5,4201.5,2.4,334.25000000002,331.85000000002003,08:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-17 18:00:00,2023-01-17 21:00:00,SHORT,4189.51,4215.08,1.0,4201.5,4203.0,2.4,-1278.4999999999854,-1280.8999999999855,18:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-17 21:00:00,2023-01-18 03:00:00,LONG,4215.08,4193.74,1.0,4203.0,4206.0,2.4,-1067.0000000000073,-1069.4000000000074,21:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-18 03:00:00,2023-01-18 08:00:00,SHORT,4193.74,4220.91,1.0,4206.0,4208.5,2.4,-1358.5000000000036,-1360.9000000000037,03:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-18 08:00:00,2023-01-18 13:00:00,LONG,4220.91,4198.44,1.0,4208.5,4211.0,2.4,-1123.5000000000127,-1125.9000000000128,08:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-18 13:00:00,2023-01-18 18:00:00,SHORT,4198.44,4226.21,1.0,4211.0,4213.5,2.4,-1388.5000000000218,-1390.900000000022,13:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-18 18:00:00,2023-01-18 23:00:00,LONG,4226.21,4203.14,1.0,4213.5,4216.0,2.4,-1153.4999999999854,-1155.8999999999855,18:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-18 23:00:00,2023-01-19 04:00:00,SHORT,4203.14,4231.51,1.0,4216.0,4218.5,2.4,-1418.4999999999945,-1420.8999999999946,23:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-19 04:00:00,2023-01-19 09:00:00,LONG,4231.51,4207.84,1.0,4218.5,4221.0,2.4,-1183.5000000000036,-1185.9000000000037,04:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-19 09:00:00,2023-01-19 14:00:00,SHORT,4207.84,4236.81,1.0,4221.0,4223.5,2.4,-1448.5000000000127,-1450.9000000000128,09:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-19 14:00:00,2023-01-19 19:00:00,LONG,4236.81,4212.54,1.0,4223.5,4226.0,2.4,-1213.5000000000218,-1215.900000000022,14:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-19 19:00:00,2023-01-20 00:00:00,SHORT,4212.54,4242.11,1.0,4226.0,4228.5,2.4,-1478.4999999999854,-1480.8999999999855,19:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-20 00:00:00,2023-01-20 05:00:00,LONG,4242.11,4217.24,1.0,4228.5,4231.0,2.4,-1243.4999999999945,-1245.8999999999946,00:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-20 05:00:00,2023-01-20 10:00:00,SHORT,4217.24,4247.41,1.0,4231.0,4233.5,2.4,-1508.5000000000036,-1510.9000000000037,05:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-20 10:00:00,2023-01-20 15:00:00,LONG,4247.41,4221.94,1.0,4233.5,4236.0,2.4,-1273.5000000000127,-1275.9000000000128,10:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-20 15:00:00,2023-01-20 20:00:00,SHORT,4221.94,4252.71,1.0,4236.0,4238.5,2.4,-1538.5000000000218,-1540.900000000022,15:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-20 20:00:00,2023-01-21 01:00:00,LONG,4252.71,4226.64,1.0,4238.5,4241.0,2.4,-1303.4999999999854,-1305.8999999999855,20:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-21 01:00:00,2023-01-21 06:00:00,SHORT,4226.64,4258.01,1.0,4241.0,4243.5,2.4,-1568.4999999999945,-1570.8999999999946,01:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-21 06:00:00,2023-01-21 11:00:00,LONG,4258.01,4231.34,1.0,4243.5,4246.0,2.4,-1333.5000000000036,-1335.9000000000037,06:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-21 11:00:00,2023-01-21 16:00:00,SHORT,4231.34,4263.31,1.0,4246.0,4248.5,2.4,-1598.5000000000127,-1600.9000000000128,11:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-21 16:00:00,2023-01-21 21:00:00,LONG,4263.31,4236.04,1.0,4248.5,4251.0,2.4,-1363.5000000000218,-1365.900000000022,16:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-21 21:00:00,2023-01-21 23:00:00,SHORT,4236.04,4264.52,1.0,4251.0,4249.5,2.4,-1424.0000000000236,-1426.4000000000237,21:00,MACD Breakout,1,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-29 01:00:00,2023-01-31 02:00:00,LONG,4357.3,4339.91,1.0,4337.0,4361.5,2.4,-869.5000000000164,-871.9000000000163,01:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-31 02:00:00,2023-01-31 04:00:00,SHORT,4339.91,4384.15,1.0,4361.5,4362.5,2.4,-2211.999999999989,-2214.399999999989,02:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-31 04:00:00,2023-01-31 12:00:00,LONG,4384.15,4344.61,1.0,4362.5,4366.5,2.4,-1976.9999999999982,-1979.3999999999983,04:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-31 12:00:00,2023-01-31 15:00:00,SHORT,4344.61,4389.98,1.0,4366.5,4368.0,2.4,-2268.4999999999945,-2270.8999999999946,12:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-31 15:00:00,2023-01-31 21:00:00,LONG,4389.98,4348.84,1.0,4368.0,4371.0,2.4,-2056.999999999971,-2059.399999999971,15:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-01-31 21:00:00,2023-02-01 02:00:00,SHORT,4348.84,4395.81,1.0,4371.0,4373.5,2.4,-2348.5000000000127,-2350.900000000013,21:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-02-01 02:00:00,2023-02-01 07:00:00,LONG,4395.81,4353.54,1.0,4373.5,4376.0,2.4,-2113.500000000022,-2115.900000000022,02:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-02-01 07:00:00,2023-02-01 12:00:00,SHORT,4353.54,4401.11,1.0,4376.0,4378.5,2.4,-2378.4999999999854,-2380.8999999999855,07:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
2023-02-01 12:00:00,2023-02-01 17:00:00,LONG,4401.11,4358.24,1.0,4378.5,4381.0,2.4,-2143.4999999999945,-2145.8999999999946,12:00,MACD Breakout,2,"{""fast"": 18, ""slow"": 40, ""signal"": 12}"
