EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,Fees,GrossPnL,NetPnL,Strategy,WF_TrainStart,WF_TrainEnd,WF_TestStart,WF_TestEnd,WF_Step
2023-01-15 20:00:00,2023-01-16 00:00:00,SHORT,4178.5,4180.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-16 06:00:00,2023-01-16 10:00:00,SHORT,4183.5,4185.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-16 16:00:00,2023-01-16 20:00:00,SHORT,4188.5,4190.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-17 02:00:00,2023-01-17 06:00:00,SHORT,4193.5,4195.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-17 12:00:00,2023-01-17 16:00:00,SHORT,4198.5,4200.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-17 22:00:00,2023-01-18 02:00:00,SHORT,4203.5,4205.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 08:00:00,2023-01-18 12:00:00,SHORT,4208.5,4210.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-18 18:00:00,2023-01-18 22:00:00,SHORT,4213.5,4215.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-19 04:00:00,2023-01-19 08:00:00,SHORT,4218.5,4220.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-19 14:00:00,2023-01-19 18:00:00,SHORT,4223.5,4225.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 00:00:00,2023-01-20 04:00:00,SHORT,4228.5,4230.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 10:00:00,2023-01-20 14:00:00,SHORT,4233.5,4235.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-01-20 20:00:00,2023-01-21 00:00:00,SHORT,4238.5,4240.0,1.0,0.0,-1.5,-1.5,mean reversion,2023-01-01,2023-01-14,2023-01-15,2023-01-21,1
2023-02-05 19:00:00,2023-02-05 20:00:00,SHORT,4430.0,4430.5,1.0,0.0,-0.5,-0.5,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 02:00:00,2023-02-06 06:00:00,SHORT,4433.5,4435.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 12:00:00,2023-02-06 16:00:00,SHORT,4438.5,4440.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-06 22:00:00,2023-02-07 02:00:00,SHORT,4443.5,4445.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 08:00:00,2023-02-07 12:00:00,SHORT,4448.5,4450.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-07 18:00:00,2023-02-07 22:00:00,SHORT,4453.5,4455.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-08 04:00:00,2023-02-08 08:00:00,SHORT,4458.5,4460.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-08 14:00:00,2023-02-08 18:00:00,SHORT,4463.5,4465.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 00:00:00,2023-02-09 04:00:00,SHORT,4468.5,4470.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 10:00:00,2023-02-09 14:00:00,SHORT,4473.5,4475.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-09 20:00:00,2023-02-10 00:00:00,SHORT,4478.5,4480.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 06:00:00,2023-02-10 10:00:00,SHORT,4483.5,4485.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
2023-02-10 16:00:00,2023-02-10 20:00:00,SHORT,4488.5,4490.5,1.0,0.0,-2.0,-2.0,mean reversion,2023-01-22,2023-02-04,2023-02-05,2023-02-11,2
