EntryTime,ExitTime,Side,EntryPrice,ExitPrice,Qty,EntryPriceGross,ExitPriceGross,Fees,GrossPnL,NetPnL,TimeOfDay,Strategy,WF_Period,ParamsJSON
2023-01-15 22:00:00,2023-01-16 00:00:00,SHORT,4168.83,4191.23,1.0,4179.5,4180.5,2.4,-1119.9999999999818,-1122.399999999982,22:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-16 07:00:00,2023-01-16 10:00:00,SHORT,4173.06,4196.53,1.0,4184.0,4185.5,2.4,-1173.4999999999673,-1175.8999999999673,07:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-16 17:00:00,2023-01-16 20:00:00,SHORT,4177.76,4201.83,1.0,4189.0,4190.5,2.4,-1203.4999999999854,-1205.8999999999855,17:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-17 03:00:00,2023-01-17 06:00:00,SHORT,4182.46,4207.13,1.0,4194.0,4195.5,2.4,-1233.5000000000036,-1235.9000000000037,03:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-17 13:00:00,2023-01-17 16:00:00,SHORT,4187.16,4212.43,1.0,4199.0,4200.5,2.4,-1263.5000000000218,-1265.900000000022,13:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-17 23:00:00,2023-01-18 02:00:00,SHORT,4191.86,4217.73,1.0,4204.0,4205.5,2.4,-1293.4999999999945,-1295.8999999999946,23:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-18 09:00:00,2023-01-18 12:00:00,SHORT,4196.56,4223.03,1.0,4209.0,4210.5,2.4,-1323.4999999999673,-1325.8999999999673,09:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-18 19:00:00,2023-01-18 22:00:00,SHORT,4201.26,4228.33,1.0,4214.0,4215.5,2.4,-1353.4999999999854,-1355.8999999999855,19:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-19 05:00:00,2023-01-19 08:00:00,SHORT,4205.96,4233.63,1.0,4219.0,4220.5,2.4,-1383.5000000000036,-1385.9000000000037,05:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
2023-01-19 15:00:00,2023-01-19 18:00:00,SHORT,4210.66,4238.93,1.0,4224.0,4225.5,2.4,-1413.5000000000218,-1415.900000000022,15:00,Mean Reversion,1,"{""lookback"": 23, ""entry_z"": 1.3308477990517087, ""exit_z"": 1.7237292531880042}"
