Time,Action,OrderType,Qty,RefPx,Extra,StrategyTag
2025-08-15 14:10:06.103929+00:00,BUY,LMT,1,6480.5,timeout=15s,LIVE
2025-08-15 14:10:11.177549+00:00,SELL,BRACKET_CHILDREN,1,6480.5,"tp=6483.5, sl=6478.5",LIVE
2025-08-15 14:16:06.078808+00:00,BUY,LMT,1,6482.25,timeout=15s,LIVE
2025-08-15 14:20:06.553065+00:00,SELL,MKT_EXIT,2,6477.25,flip to SHORT,LIVE
2025-08-15 14:20:06.556696+00:00,SELL,LMT,1,6477.5,timeout=15s,LIVE
2025-08-15 14:20:06.989553+00:00,BUY,BRACKET_CHILDREN,1,6477.5,"tp=6474.5, sl=6479.5",LIVE
2025-08-15 14:22:05.782437+00:00,SELL,LMT,1,6475.5,timeout=15s,LIVE
2025-08-15 14:26:06.550750+00:00,SELL,LMT,1,6473.25,timeout=15s,LIVE
2025-08-15 14:31:07.144642+00:00,BUY,MKT_EXIT,3,6479.75,flip to LONG,LIVE
2025-08-15 14:31:07.150830+00:00,BUY,LMT,1,6478.75,timeout=15s,LIVE
2025-08-15 14:31:11.037172+00:00,SELL,BRACKET_CHILDREN,1,6478.75,"tp=6481.75, sl=6476.75",LIVE
2025-08-15 14:32:06.624624+00:00,SELL,MKT_EXIT,1,6477.0,flip to SHORT,LIVE
2025-08-15 14:32:06.627983+00:00,SELL,LMT,1,6477.0,timeout=15s,LIVE
2025-08-15 14:32:06.843795+00:00,BUY,BRACKET_CHILDREN,1,6477.0,"tp=6474.0, sl=6479.0",LIVE
2025-08-15 14:34:05.947187+00:00,SELL,LMT,1,6475.75,timeout=15s,LIVE
2025-08-15 14:34:21.648011+00:00,SELL,MKT(after LMT timeout),1,,,LIVE
2025-08-15 14:46:06.454489+00:00,SELL,LMT,1,6473.25,timeout=15s,LIVE
2025-08-15 15:14:07.052939+00:00,BUY,MKT_EXIT,3,6475.25,flip to LONG,LIVE
2025-08-15 15:14:07.096923+00:00,BUY,LMT,1,6474.5,timeout=15s,LIVE
2025-08-15 15:14:22.789478+00:00,BUY,MKT(after LMT timeout),1,,,LIVE
2025-08-15 15:14:23.401310+00:00,SELL,BRACKET_CHILDREN,1,6475.5,"tp=6478.5, sl=6473.5",LIVE
2025-08-15 15:17:06.093244+00:00,BUY,LMT,1,6476.0,timeout=15s,LIVE
2025-08-15 15:18:06.654228+00:00,BUY,LMT,1,6476.75,timeout=15s,LIVE
2025-08-15 15:18:22.310574+00:00,BUY,MKT(after LMT timeout),1,,,LIVE
2025-08-15 15:25:07.455178+00:00,SELL,MKT_EXIT,3,6471.25,flip to SHORT,LIVE
2025-08-15 15:25:07.459829+00:00,SELL,LMT,1,6471.75,timeout=15s,LIVE
2025-08-15 15:25:09.908214+00:00,BUY,BRACKET_CHILDREN,1,6471.75,"tp=6468.75, sl=6473.75",LIVE
2025-08-15 15:28:05.850270+00:00,SELL,LMT,1,6471.25,timeout=15s,LIVE
2025-08-15 15:35:06.700992+00:00,BUY,MKT_EXIT,2,6476.0,flip to LONG,LIVE
2025-08-15 15:35:06.704615+00:00,BUY,LMT,1,6475.25,timeout=15s,LIVE
2025-08-15 15:35:13.423851+00:00,SELL,BRACKET_CHILDREN,1,6475.25,"tp=6478.25, sl=6473.25",LIVE
2025-08-15 15:38:06.919976+00:00,SELL,MKT_EXIT,1,6472.5,flip to SHORT,LIVE
2025-08-15 15:38:06.921906+00:00,SELL,LMT,1,6472.5,timeout=15s,LIVE
2025-08-15 15:38:07.138427+00:00,BUY,BRACKET_CHILDREN,1,6472.5,"tp=6469.5, sl=6474.5",LIVE
2025-08-15 15:40:06.144995+00:00,SELL,LMT,1,6470.0,timeout=15s,LIVE
2025-08-15 15:40:21.992432+00:00,SELL,MKT(after LMT timeout),1,,,LIVE
2025-08-15 15:41:06.416407+00:00,SELL,LMT,1,6467.25,timeout=15s,LIVE
2025-08-15 15:52:07.074894+00:00,BUY,MKT_EXIT,3,6474.5,flip to LONG,LIVE
2025-08-15 15:52:07.077965+00:00,BUY,LMT,1,6474.25,timeout=15s,LIVE
2025-08-15 15:52:07.292882+00:00,SELL,BRACKET_CHILDREN,1,6474.25,"tp=6477.25, sl=6472.25",LIVE
2025-08-15 15:54:06.082164+00:00,BUY,LMT,1,6476.25,timeout=15s,LIVE
2025-08-15 15:54:21.910266+00:00,BUY,MKT(after LMT timeout),1,,,LIVE
2025-08-15 16:02:07.557242+00:00,SELL,MKT_EXIT,2,6468.75,flip to SHORT,LIVE
2025-08-15 16:02:07.559841+00:00,SELL,LMT,1,6469.0,timeout=15s,LIVE
2025-08-15 16:02:09.207615+00:00,BUY,BRACKET_CHILDREN,1,6469.0,"tp=6466.0, sl=6471.0",LIVE
2025-08-15 16:03:53.230319+00:00,BUY,MKT_EXIT,1,6468.25,program exit,LIVE
