[2025-08-21 08:04:10] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.1 | Sprd=1.0
[2025-08-21 08:05:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.1 | Sprd=1.0
[2025-08-21 08:06:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.2 | Sprd=1.0
[2025-08-21 08:07:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.2 | Sprd=1.0
[2025-08-21 08:08:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.1 | Sprd=1.0
[2025-08-21 08:09:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.1 | Sprd=1.0
[2025-08-21 08:10:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.9 | Sprd=1.0
[2025-08-21 08:11:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.2 | Sprd=1.0
[2025-08-21 08:12:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.5 | Sprd=1.0
[2025-08-21 08:13:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.3 | Sprd=1.0
[2025-08-21 08:14:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.0 | Sprd=1.0
[2025-08-21 08:15:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.8 | Sprd=1.0
[2025-08-21 08:16:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.0 | Sprd=1.0
[2025-08-21 08:17:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.1 | Sprd=1.0
[2025-08-21 08:18:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.8 | Sprd=1.0
[2025-08-21 08:19:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.8 | Sprd=1.0
[2025-08-21 08:20:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.8 | Sprd=1.0
[2025-08-21 08:21:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.5 | Sprd=2.0
[2025-08-21 08:22:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.6 | Sprd=1.0
[2025-08-21 08:23:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.9 | Sprd=1.0
[2025-08-21 08:24:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.6 | Sprd=1.0
[2025-08-21 08:25:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.6 | Sprd=1.0
[2025-08-21 08:26:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.9 | Sprd=1.0
[2025-08-21 08:27:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.9 | Sprd=1.0
[2025-08-21 08:28:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.1 | Sprd=1.0
[2025-08-21 08:29:07] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=6.2 | Sprd=1.0
[2025-08-21 08:30:06] PnL=0.00 | ConsecLoss=0 | Blocked=YES:RTH | ATRt=5.9 | Sprd=1.0
[2025-08-21 08:31:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.9 | Sprd=1.0
[2025-08-21 08:32:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=10.4 | Sprd=1.0
[2025-08-21 08:33:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=12.4 | Sprd=1.0
[2025-08-21 08:34:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=13.5 | Sprd=1.0
[2025-08-21 08:35:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=15.2 | Sprd=1.0
[2025-08-21 08:36:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=16.0 | Sprd=1.0
[2025-08-21 08:37:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=16.6 | Sprd=1.0
[2025-08-21 08:38:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.4 | Sprd=1.0
[2025-08-21 08:39:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.5 | Sprd=1.0
[2025-08-21 08:40:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.1 | Sprd=1.0
[2025-08-21 08:41:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=18.5 | Sprd=1.0
[2025-08-21 08:42:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=18.9 | Sprd=1.0
[2025-08-21 08:43:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=19.5 | Sprd=1.0
[2025-08-21 08:44:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=20.6 | Sprd=1.0
[2025-08-21 08:45:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=17.9 | Sprd=2.0
[2025-08-21 08:46:06] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=20.6 | Sprd=1.0
