[2025-08-22 11:40:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.1 | Sprd=1.0
[2025-08-22 11:41:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.4 | Sprd=1.0
[2025-08-22 11:42:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.6 | Sprd=1.0
[2025-08-22 11:43:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.6 | Sprd=1.0
[2025-08-22 11:44:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.2 | Sprd=1.0
[2025-08-22 11:45:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.1 | Sprd=1.0
[2025-08-22 11:46:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.3 | Sprd=1.0
[2025-08-22 11:47:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.3 | Sprd=1.0
[2025-08-22 11:48:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.4 | Sprd=1.0
[2025-08-22 11:49:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.2 | Sprd=1.0
[2025-08-22 11:50:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.9 | Sprd=1.0
[2025-08-22 11:51:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.6 | Sprd=1.0
[2025-08-22 11:52:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.7 | Sprd=1.0
[2025-08-22 11:53:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.7 | Sprd=2.0
[2025-08-22 11:54:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.5 | Sprd=1.0
[2025-08-22 11:55:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.4 | Sprd=1.0
[2025-08-22 11:56:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.3 | Sprd=1.0
[2025-08-22 11:57:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=7.8 | Sprd=1.0
[2025-08-22 11:58:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.2 | Sprd=1.0
[2025-08-22 11:59:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.1 | Sprd=1.0
[2025-08-22 12:00:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.4 | Sprd=1.0
[2025-08-22 12:01:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=9.1 | Sprd=1.0
[2025-08-22 12:02:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=9.2 | Sprd=1.0
[2025-08-22 12:03:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=9.3 | Sprd=1.0
[2025-08-22 12:04:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=9.1 | Sprd=1.0
[2025-08-22 12:05:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.9 | Sprd=1.0
[2025-08-22 12:06:08] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.9 | Sprd=1.0
[2025-08-22 12:07:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.7 | Sprd=1.0
[2025-08-22 12:08:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.8 | Sprd=1.0
[2025-08-22 12:09:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.9 | Sprd=1.0
[2025-08-22 12:10:07] PnL=0.00 | ConsecLoss=0 | Blocked=no | ATRt=8.7 | Sprd=1.0
